,Municipio,Date,High Temperature,Avg Temperature,Low Temperature,High Dew Point,Avg Dew Point,Low Dew Point,High Humidity,Avg Humidity,Low Humidity,High Speed,Avg Speed,Low Speed,High Pressure,Low Pressure,Sum
0,Villaviciosa de Odón,10/1/2024,84.0,65.7,49.6,50.9,43.0,36.1,68,46,25,10.7,1.7,0.0,29.95,29.82,0.00
1,Villaviciosa de Odón,10/2/2024,76.6,68.1,60.1,61.7,56.9,48.7,82,68,51,20.1,4.3,0.0,29.88,29.70,0.01
2,Villaviciosa de Odón,10/3/2024,75.9,68.4,61.5,59.0,52.3,43.2,76,58,34,18.1,5.5,0.0,29.85,29.72,0.00
3,Villaviciosa de Odón,10/4/2024,77.7,64.6,50.7,54.5,50.0,44.4,88,61,40,10.7,1.6,0.0,29.89,29.80,0.03
4,Villaviciosa de Odón,10/5/2024,78.6,64.1,49.8,59.7,52.4,45.5,86,67,43,14.8,3.1,0.0,29.87,29.78,0.00
5,Villaviciosa de Odón,10/6/2024,74.3,67.1,62.8,59.0,57.1,55.2,85,71,54,15.4,4.9,0.0,29.83,29.72,0.00
6,Villaviciosa de Odón,10/7/2024,72.3,61.4,56.7,58.3,54.7,51.6,94,80,50,22.1,3.2,0.0,29.74,29.58,0.20
7,Villaviciosa de Odón,10/8/2024,63.1,57.8,53.1,56.8,54.5,51.6,96,89,75,15.4,4.5,0.0,29.81,29.68,0.02
8,Villaviciosa de Odón,10/9/2024,69.8,61.8,57.2,63.0,56.8,51.1,93,84,70,22.1,6.7,0.0,29.75,29.46,0.29
9,Villaviciosa de Odón,10/10/2024,69.1,58.7,49.8,51.4,44.7,40.5,83,61,39,15.0,3.3,0.0,29.86,29.67,0.00
10,Villaviciosa de Odón,10/11/2024,67.1,55.6,43.0,55.2,46.4,40.3,91,73,48,11.2,1.6,0.0,29.89,29.77,0.05
11,Villaviciosa de Odón,10/12/2024,63.1,60.2,57.4,61.2,58.3,54.9,97,94,86,11.2,1.8,0.0,29.92,29.70,1.47
12,Villaviciosa de Odón,10/13/2024,71.8,62.7,55.6,58.6,56.0,54.1,96,80,58,10.1,1.8,0.0,29.98,29.89,0.01
13,Villaviciosa de Odón,10/14/2024,73.8,63.4,54.9,61.2,57.4,53.1,95,82,60,8.1,1.4,0.0,29.95,29.78,0.00
14,Villaviciosa de Odón,10/15/2024,67.6,63.9,59.7,61.3,58.7,55.4,92,83,72,15.9,4.5,0.0,29.79,29.65,0.08
15,Villaviciosa de Odón,10/16/2024,73.0,63.8,59.4,63.0,58.9,56.1,96,85,57,21.5,6.6,0.0,29.74,29.55,1.09
0,Villaviciosa de Odón,9/1/2024,88.0,76.6,67.1,67.1,60.5,52.2,91,61,31,11.9,2.5,0.0,29.86,29.75,0.01
1,Villaviciosa de Odón,9/2/2024,90.0,77.3,66.2,65.1,57.7,47.3,85,55,24,13.9,2.6,0.0,29.83,29.69,0.00
2,Villaviciosa de Odón,9/3/2024,87.4,75.8,65.1,63.7,57.4,46.9,83,56,27,14.8,3.4,0.0,29.82,29.73,0.00
3,Villaviciosa de Odón,9/4/2024,84.0,72.7,67.6,60.1,55.5,47.3,75,57,32,15.4,4.1,0.0,29.88,29.79,0.00
4,Villaviciosa de Odón,9/5/2024,81.0,69.0,55.9,51.6,48.6,38.7,75,51,24,14.8,2.7,0.0,29.86,29.57,0.00
5,Villaviciosa de Odón,9/6/2024,78.1,67.3,57.9,49.8,40.5,25.2,69,42,17,17.4,3.8,0.0,29.62,29.54,0.00
6,Villaviciosa de Odón,9/7/2024,78.6,63.9,45.5,44.6,38.3,29.3,76,42,23,13.9,3.1,0.0,29.78,29.62,0.00
7,Villaviciosa de Odón,9/8/2024,82.9,68.1,51.1,50.4,44.6,39.6,72,45,28,13.9,3.4,0.0,29.87,29.74,0.00
8,Villaviciosa de Odón,9/9/2024,86.0,68.3,52.3,49.8,42.8,39.0,65,43,21,14.3,1.9,0.0,29.99,29.87,0.00
9,Villaviciosa de Odón,9/10/2024,88.2,72.5,59.9,53.2,47.1,39.9,71,44,21,9.6,2.4,0.0,29.97,29.84,0.00
10,Villaviciosa de Odón,9/11/2024,86.5,72.1,55.6,47.8,41.9,25.5,67,37,11,16.8,3.2,0.0,29.94,29.83,0.00
11,Villaviciosa de Odón,9/12/2024,82.4,71.1,58.3,52.0,46.3,38.5,60,42,28,19.0,4.5,0.0,29.93,29.84,0.00
12,Villaviciosa de Odón,9/13/2024,73.9,64.8,55.0,51.6,42.7,36.9,69,47,28,14.3,5.3,0.7,30.07,29.91,0.00
13,Villaviciosa de Odón,9/14/2024,82.2,65.8,55.0,51.3,42.7,36.1,54,44,25,11.4,3.0,0.0,30.10,29.97,0.00
14,Villaviciosa de Odón,9/15/2024,89.1,70.4,53.1,45.9,38.6,28.4,66,36,14,8.3,1.7,0.0,30.01,29.89,0.00
15,Villaviciosa de Odón,9/16/2024,85.8,69.7,47.1,37.4,29.3,22.8,48,24,12,14.5,3.5,0.0,29.96,29.81,0.00
16,Villaviciosa de Odón,9/17/2024,80.6,68.9,59.2,43.7,39.2,35.1,50,35,22,17.2,5.2,0.0,29.87,29.70,0.00
17,Villaviciosa de Odón,9/18/2024,82.6,69.2,58.1,56.5,49.2,38.8,66,50,30,18.3,3.9,0.0,29.81,29.71,0.00
18,Villaviciosa de Odón,9/19/2024,75.9,64.4,57.9,59.0,55.4,51.4,89,73,51,13.0,3.1,0.0,29.85,29.76,0.04
19,Villaviciosa de Odón,9/20/2024,72.7,63.1,56.5,58.3,55.7,53.6,92,78,55,10.1,2.1,0.0,29.88,29.77,0.00
20,Villaviciosa de Odón,9/21/2024,75.7,66.5,58.8,60.6,56.3,50.5,91,72,46,14.1,3.2,0.0,29.83,29.74,0.00
21,Villaviciosa de Odón,9/22/2024,77.9,64.0,50.9,54.0,49.5,45.5,91,63,35,15.2,2.4,0.0,29.89,29.81,0.00
22,Villaviciosa de Odón,9/23/2024,76.1,63.0,49.5,51.8,46.7,43.9,85,58,34,16.1,2.3,0.0,29.90,29.79,0.00
23,Villaviciosa de Odón,9/24/2024,71.1,59.9,47.8,49.8,42.7,37.2,71,55,35,15.4,3.1,0.0,29.88,29.81,0.00
24,Villaviciosa de Odón,9/25/2024,72.9,64.7,59.9,63.3,56.8,49.8,87,76,63,17.7,5.1,0.0,29.89,29.82,0.00
25,Villaviciosa de Odón,9/26/2024,71.4,66.3,62.2,63.9,59.4,54.9,93,79,61,21.3,7.7,0.0,29.85,29.75,0.01
26,Villaviciosa de Odón,9/27/2024,71.6,61.0,52.3,57.7,44.6,32.5,92,59,31,21.5,5.4,0.0,30.02,29.83,0.00
27,Villaviciosa de Odón,9/28/2024,71.2,56.4,43.0,39.0,34.5,27.9,77,47,21,11.2,2.3,0.0,30.12,30.02,0.00
