,Nombre_Municipio,Latitud,Longitud,Categoria,Nombre_Lugar,Direccion,Distancia
0,Ajalvir,40.5342302,-3.4807818,Park,Chiquitin,Ajalvir Madrid,333
1,Ajalvir,40.5342302,-3.4807818,Park,Diverjungla,"Calle Segovia, 20",563
2,Ajalvir,40.5342302,-3.4807818,Park,Parque Infantil,,1724
3,Ajalvir,40.5342302,-3.4807818,Performing Arts Venue,Salón Municipal de Actos Socioculturales de la Villa de Ajalvir,"Calle Fuente, s/n",139
4,El Álamo,40.2307296,-3.9905893,Park,Isla Perejil,28607 El Alamo Comunidad de Madrid,118
5,El Álamo,40.2307296,-3.9905893,Park,Parque de Madera,,582
6,Alcalá de Henares,40.481954,-3.363981,Park,Parque del Louisi,Alcalá de Henares Comunidad de Madrid,332
7,Alcalá de Henares,40.481954,-3.363981,Park,Parque Infantil,28801 Alcalá de Henares Comunidad de Madrid,435
8,Alcalá de Henares,40.481954,-3.363981,Park,Parque Salvador de Madariaga,Alcalá de Henares Comunidad de Madrid,470
9,Alcalá de Henares,40.481954,-3.363981,Park,Parque de Sementales,"Ronda Fiscal, 28804 Alcalá de Henares Comunidad de Madrid",527
10,Alcalá de Henares,40.481954,-3.363981,Park,Parque Isla del Colegio,Alcalá de Henares Comunidad de Madrid,585
11,Alcalá de Henares,40.481954,-3.363981,Park,Parque O'Donnell,"Calle de Luis de Astrana Marín, 8",621
12,Alcalá de Henares,40.481954,-3.363981,Park,Ermita de San Isidro (Alcalá de Henares),28805 Alcalá de Henares Comunidad de Madrid,686
13,Alcalá de Henares,40.481954,-3.363981,Park,Parque San Isidro,28800 Alcalá de Henares Comunidad de Madrid,698
14,Alcalá de Henares,40.481954,-3.363981,Park,Parque el Silo,,786
15,Alcalá de Henares,40.481954,-3.363981,Park,Parque de Sementales,Madrid,806
16,Alcalá de Henares,40.481954,-3.363981,Park,Parque de los Tubos,Alcalá de Henares Comunidad de Madrid,844
17,Alcalá de Henares,40.481954,-3.363981,Park,Plaza de la Juventud,Alcalá de Henares Madrid,854
18,Alcalá de Henares,40.481954,-3.363981,Park,Plaza de la Villa de Talence,"C/ Pablo De Olavide, 28804 Alcalá de Henares Comunidad de Madrid",954
19,Alcalá de Henares,40.481954,-3.363981,Park,Parque del Medio,28803 Alcalá de Henares Comunidad de Madrid,972
20,Alcalá de Henares,40.481954,-3.363981,Park,Parque de la Hera,,992
21,Alcalá de Henares,40.481954,-3.363981,Park,Paseo de los Pinos,Alcalá de Henares Comunidad de Madrid,1035
22,Alcalá de Henares,40.481954,-3.363981,Park,Parque Tierno Galvan,Alcalá de Henares Comunidad de Madrid,1077
23,Alcalá de Henares,40.481954,-3.363981,Park,Parque junto a IES Antonio Machado,"C. Villalbilla, 28806 Alcalá de Henares Comunidad de Madrid",1167
24,Alcalá de Henares,40.481954,-3.363981,Park,La Cruz,Valencia,1221
25,Alcalá de Henares,40.481954,-3.363981,Park,Parque los Gatos,"C/ Alicante, 28804 Alcalá de Henares Comunidad de Madrid",1230
26,Alcalá de Henares,40.481954,-3.363981,Park,Area de Juegos Complutum,Alcalá de Henares Comunidad de Madrid,1252
27,Alcalá de Henares,40.481954,-3.363981,Park,Las Boyeras,Alcalá de Henares Comunidad de Madrid,1272
28,Alcalá de Henares,40.481954,-3.363981,Park,Parque de los Nogales,Nogales Comunidad de Madrid,1289
29,Alcalá de Henares,40.481954,-3.363981,Park,Plaza del Barro,Barro,1373
30,Alcalá de Henares,40.481954,-3.363981,Park,Parque junto a CEIP Antonio de Nebrija,"C/ San Ignacio de Loyola, 28806 Alcalá de Henares Comunidad de Madrid",1404
31,Alcalá de Henares,40.481954,-3.363981,Camera Store,Full Frame Photography,"Calle Teniente Ruiz, 29",491
32,Alcalá de Henares,40.481954,-3.363981,Camera Store,Torresygarcia,"Goya, 5",643
33,Alcalá de Henares,40.481954,-3.363981,Camera Store,Sergio Cueto {Life photographer,"Carabaña, 8",1043
34,Alcalá de Henares,40.481954,-3.363981,Performing Arts Venue,Corral de Comedias,"Plaza de Cervantes, 15",65
35,Alcalá de Henares,40.481954,-3.363981,Performing Arts Venue,El Teatro del Finikito,"Calle Santa Ursula, 7",169
36,Alcalá de Henares,40.481954,-3.363981,Performing Arts Venue,Teatro Salón Cervantes,"Calle Cervantes, 7",243
37,Alcalá de Henares,40.481954,-3.363981,Performing Arts Venue,Winchester Bar Rock,"calle Santa maria la rica, 6",384
38,Alcalá de Henares,40.481954,-3.363981,Performing Arts Venue,Sala Margarita Xirgu,"Calle Vía Complutense, 19",417
39,Alcalá de Henares,40.481954,-3.363981,Performing Arts Venue,elZulo Estudios,"Calle Entrepeñas, s/n",1362
40,Alcalá de Henares,40.481954,-3.363981,Performing Arts Venue,Ágora Espacio Creativo,"Calle Amadeo Vives, 4",1623
